id	polarity	polarity_orig	sentence	polex	polex+targets	polex_span	polex+targets_span	target_spans	split
amzn03 04 00	positive	positive	` ` Within the next five years Amazon will become a top five grocer in the U.S . , ' ' said Cooper Smith , director of Amazon research at L2 Inc . , a business intelligence firm .	top five	Amazon will become a top five grocer	(11, 12)	(7, 13)	[(13, 13), (7, 7)]	train
amzn03 05 00	positive	positive	` ` In order to sustain their growth , they have to enter this market . ' '	sustain their growth	sustain their growth	(5, 7)	(5, 7)	[]	train
amzn03 05 01	neutral	neutral	` ` In order to sustain their growth , they have to enter this market . ' '	have to enter this market	have to enter this market	(10, 14)	(10, 14)	[]	train
amzn03 06 00	neutral	neutral	The supermarkets and grocery-store industry is a $ 611.9 billion business , according to the latest numbers from IBISWorld .	business	supermarkets and grocery-store industry is a $ 611.9 billion business	(10, 10)	(1, 10)	[(1, 4)]	train
amzn03 07 00	neutral	neutral	Wal-Mart Stores Inc . had 14.45 % of U.S . food and grocery market share for the full calendar year 2016 , according to numbers provided by GlobalData Retail , and Kroger Co . had 7.17 % .	market share	Wal-Mart Stores Inc . had 14.45 % of U.S . food and grocery market share	(13, 14)	(0, 14)	[(8, 13), (0, 2)]	train
amzn03 07 01	neutral	neutral	Wal-Mart Stores Inc . had 14.45 % of U.S . food and grocery market share for the full calendar year 2016 , according to numbers provided by GlobalData Retail , and Kroger Co . had 7.17 % .	market share	U.S . food and grocery market share for the full calendar year 2016 , according to numbers provided by GlobalData Retail , and Kroger Co	(13, 14)	(8, 32)	[(31, 32), (8, 13)]	train
amzn03 08 00	neutral	neutral	By comparison , Whole Foods had 1.21 % and Amazon , 0.19 % .	had	Whole Foods had	(5, 5)	(3, 5)	[(3, 4)]	train
amzn03 08 01	neutral	neutral	By comparison , Whole Foods had 1.21 % and Amazon , 0.19 % .	had	had 1.21 % and Amazon	(5, 5)	(5, 9)	[(9, 9)]	train
amzn03 09 00	positive	positive	On top of the usual U.S . players , grocers from abroad , including Aldi , which is committing billions to expanding its U.S . presence , and Lidl , which opened its first 10 stores just this week , are vying for a piece of the grocery pie .	committing	Aldi , which is committing billions to expanding its U.S . presence	(18, 18)	(14, 25)	[(22, 25), (14, 14)]	train
amzn03 09 01	positive	positive	On top of the usual U.S . players , grocers from abroad , including Aldi , which is committing billions to expanding its U.S . presence , and Lidl , which opened its first 10 stores just this week , are vying for a piece of the grocery pie .	opened	Lidl , which opened its first 10 stores	(31, 31)	(28, 35)	[(32, 35), (28, 28)]	train
amzn03 09 02	positive	positive	On top of the usual U.S . players , grocers from abroad , including Aldi , which is committing billions to expanding its U.S . presence , and Lidl , which opened its first 10 stores just this week , are vying for a piece of the grocery pie .	vying for a piece of the grocery pie .	Aldi , which is committing billions to expanding its U.S . presence , and Lidl , which opened its first 10 stores just this week , are vying for a piece of the grocery pie .	(41, 49)	(14, 49)	[(28, 28), (14, 14)]	train
amzn03 10 00	neutral	neutral	` ` Although industry revenue is only set to rise at an annualized rate of 0.8 % over the five years to 2022 , the transaction will allow the online retail giant to boost not only its grocery sales , but expand its brick-and-mortar presence , ' ' said Madeline Hurley , IBISWorld industry analyst , in a statement .	rise	industry revenue is only set to rise	(9, 9)	(3, 9)	[(3, 3)]	train
amzn03 10 01	positive	positive	` ` Although industry revenue is only set to rise at an annualized rate of 0.8 % over the five years to 2022 , the transaction will allow the online retail giant to boost not only its grocery sales , but expand its brick-and-mortar presence , ' ' said Madeline Hurley , IBISWorld industry analyst , in a statement .	boost not only its grocery sales , but expand its brick-and-mortar presence	boost not only its grocery sales , but expand its brick-and-mortar presence	(33, 44)	(33, 44)	[]	train
amzn03 11 00	negative	negative	It ' s not just all of the grocery sector , but all of retail in general that is affected by the deal , said Charlie O'Shea , Moody ' s lead retail analyst .	affected by the deal	the grocery sector , but all of retail in general that is affected by the deal	(19, 22)	(7, 22)	[(7, 9), (14, 14)]	train
amzn03 12 00	positive	positive	But Wal-Mart might be the company on highest alert because of its dominant position in the market .	dominant position	Wal-Mart might be the company on highest alert because of its dominant position in the market	(12, 13)	(1, 16)	[(1, 1), (15, 16)]	train
amzn03 12 01	negative	negative	But Wal-Mart might be the company on highest alert because of its dominant position in the market .	on highest alert	Wal-Mart might be the company on highest alert	(6, 8)	(1, 8)	[(1, 1)]	train
amzn03 13 00	negative	negative	` ` The CEO of Wal-Mart is not going to get a lot of sleep tonight , ' ' said L2 ' s Smith .	CEO of Wal-Mart is not going to get a lot of sleep tonight	CEO of Wal-Mart	(3, 15)	(3, 5)	[(5, 5)]	train
amzn03 14 00	negative	negative	Not everyone thinks Wal-Mart is the company with the most to lose .	the company with the most to lose	Wal-Mart is the company with the most to lose	(5, 11)	(3, 11)	[(3, 3)]	train
amzn03 15 00	positive	positive	` ` By going upmarket in acquiring Whole Foods , this will have more of an impact on Target and Costco than if they had gone after Kroger , for instance , which would have more directly affected Wal-Mart , ' ' wrote ConsumerEdge Research in a Friday note .	acquiring	acquiring Whole Foods	(6, 6)	(6, 8)	[(7, 8)]	train
amzn03 15 01	negative	negative	` ` By going upmarket in acquiring Whole Foods , this will have more of an impact on Target and Costco than if they had gone after Kroger , for instance , which would have more directly affected Wal-Mart , ' ' wrote ConsumerEdge Research in a Friday note .	more of an impact	more of an impact on Target and Costco	(13, 16)	(13, 20)	[(20, 20), (18, 18)]	train
amzn03 15 02	negative	negative	` ` By going upmarket in acquiring Whole Foods , this will have more of an impact on Target and Costco than if they had gone after Kroger , for instance , which would have more directly affected Wal-Mart , ' ' wrote ConsumerEdge Research in a Friday note .	more directly affected	more directly affected Wal-Mart	(35, 37)	(35, 38)	[(38, 38)]	train
amzn03 16 00	neutral	neutral	Despite the fact that AmazonFresh was launched a decade ago , grocery is still a category that Amazon has been working its way into .	launched	AmazonFresh was launched a decade ago , grocery is still a category that Amazon	(6, 6)	(4, 17)	[(17, 17), (4, 4)]	train
amzn03 17 00	positive	positive	By purchasing Whole Foods , Amazon has bought a well-known grocery brand whose customer base overlaps with the Amazon ' s shoppers .	purchasing	purchasing Whole Foods , Amazon	(1, 1)	(1, 5)	[(5, 5), (2, 3)]	train
amzn03 17 01	positive	positive	By purchasing Whole Foods , Amazon has bought a well-known grocery brand whose customer base overlaps with the Amazon ' s shoppers .	customer base overlaps	Amazon has bought a well-known grocery brand whose customer base overlaps	(13, 15)	(5, 15)	[(5, 5)]	train
amzn03 19 00	positive	positive	Amazon is asking itself how it can ` ` capture as much of their wallet as possible . ' '	capture as much of their wallet as possible	Amazon is asking itself how it can ` ` capture as much of their wallet as possible	(9, 16)	(0, 16)	[(0, 0)]	train
amzn03 21 00	positive	positive	Rather , according to Smith , Amazon wants to be among the top five in its core markets , places where these affluent millennials can be found : San Francisco ; New York City ; Boston ; Austin , Texas ; and Philadelphia .	among the top five in its core markets	Amazon wants to be among the top five in its core markets	(10, 17)	(6, 17)	[(6, 6)]	train
amzn03 23 00	negative	negative	Major players are now in Amazon ' s crosshairs in the grocery space .	in Amazon ' s crosshairs in the grocery space	Major players are now in Amazon ' s crosshairs in the grocery space	(4, 12)	(0, 12)	[(0, 1)]	train
amzn03 24 00	negative	negative	These include Kroger , which had already closed down nearly 19 % in Thursday trading and is down again in Friday trading , Target Co . , which discussed the need to transform its grocery business during its analyst event earlier this year , and Costco Wholesale Corp . , which has certain online advantages but has yet to fully capitalize on them , according to analysts .	closed down	Kroger , which had already closed down	(7, 8)	(2, 8)	[(2, 2)]	train
amzn03 24 01	negative	negative	These include Kroger , which had already closed down nearly 19 % in Thursday trading and is down again in Friday trading , Target Co . , which discussed the need to transform its grocery business during its analyst event earlier this year , and Costco Wholesale Corp . , which has certain online advantages but has yet to fully capitalize on them , according to analysts .	again	again	(18, 18)	(18, 18)	[]	train
amzn03 24 02	negative	negative	These include Kroger , which had already closed down nearly 19 % in Thursday trading and is down again in Friday trading , Target Co . , which discussed the need to transform its grocery business during its analyst event earlier this year , and Costco Wholesale Corp . , which has certain online advantages but has yet to fully capitalize on them , according to analysts .	need to transform its grocery business	Target Co . , which discussed the need to transform its grocery business	(30, 35)	(23, 35)	[(23, 24)]	train
amzn03 24 03	positive	positive	These include Kroger , which had already closed down nearly 19 % in Thursday trading and is down again in Friday trading , Target Co . , which discussed the need to transform its grocery business during its analyst event earlier this year , and Costco Wholesale Corp . , which has certain online advantages but has yet to fully capitalize on them , according to analysts .	certain online advantages	Costco Wholesale Corp . , which has certain online advantages	(52, 54)	(45, 54)	[(45, 48)]	train
amzn03 24 04	positive	positive	These include Kroger , which had already closed down nearly 19 % in Thursday trading and is down again in Friday trading , Target Co . , which discussed the need to transform its grocery business during its analyst event earlier this year , and Costco Wholesale Corp . , which has certain online advantages but has yet to fully capitalize on them , according to analysts .	fully capitalize on them	Costco Wholesale Corp . , which has certain online advantages but has yet to fully capitalize on them	(59, 62)	(45, 62)	[(45, 48)]	train
amzn03 25 00	negative	negative	` ` As other brick and mortar retailers have come to realize the hard way that competing with Amazon is a formidable challenge , supermarkets will now have to contend with not only competition with each other and nontraditional grocers like Walmart and Target , but with a retailer like Amazon which has the financial capacity to price aggressively , and the smaller regional supermarket chains and independents will bear the most pain , ' ' said Moody ' s Vice President Mickey Chadha , who expects that there will be additional consolidation in the supermarket sector .	competing with Amazon is a formidable challenge	other brick and mortar retailers have come to realize the hard way that competing with Amazon is a formidable challenge	(16, 22)	(3, 22)	[(3, 7)]	train
amzn03 25 01	negative	negative	` ` As other brick and mortar retailers have come to realize the hard way that competing with Amazon is a formidable challenge , supermarkets will now have to contend with not only competition with each other and nontraditional grocers like Walmart and Target , but with a retailer like Amazon which has the financial capacity to price aggressively , and the smaller regional supermarket chains and independents will bear the most pain , ' ' said Moody ' s Vice President Mickey Chadha , who expects that there will be additional consolidation in the supermarket sector .	competition	supermarkets will now have to contend with not only competition	(33, 33)	(24, 33)	[(24, 24)]	train
amzn03 25 02	positive	positive	` ` As other brick and mortar retailers have come to realize the hard way that competing with Amazon is a formidable challenge , supermarkets will now have to contend with not only competition with each other and nontraditional grocers like Walmart and Target , but with a retailer like Amazon which has the financial capacity to price aggressively , and the smaller regional supermarket chains and independents will bear the most pain , ' ' said Moody ' s Vice President Mickey Chadha , who expects that there will be additional consolidation in the supermarket sector .	capacity to price aggressively	Amazon which has the financial capacity to price aggressively	(55, 58)	(50, 58)	[(50, 50)]	train
amzn03 25 03	negative	negative	` ` As other brick and mortar retailers have come to realize the hard way that competing with Amazon is a formidable challenge , supermarkets will now have to contend with not only competition with each other and nontraditional grocers like Walmart and Target , but with a retailer like Amazon which has the financial capacity to price aggressively , and the smaller regional supermarket chains and independents will bear the most pain , ' ' said Moody ' s Vice President Mickey Chadha , who expects that there will be additional consolidation in the supermarket sector .	bear the most pain	smaller regional supermarket chains and independents will bear the most pain	(69, 72)	(62, 72)	[(62, 67)]	train
amzn03 25 04	neutral	neutral	` ` As other brick and mortar retailers have come to realize the hard way that competing with Amazon is a formidable challenge , supermarkets will now have to contend with not only competition with each other and nontraditional grocers like Walmart and Target , but with a retailer like Amazon which has the financial capacity to price aggressively , and the smaller regional supermarket chains and independents will bear the most pain , ' ' said Moody ' s Vice President Mickey Chadha , who expects that there will be additional consolidation in the supermarket sector .	additional consolidation	additional consolidation in the supermarket sector	(91, 92)	(91, 96)	[(95, 96)]	train
amzn03 26 00	positive	positive	Amazon shares closed Friday up 2.4 % , while Whole Foods shares have skyrocketed more than 29 % .	closed	Amazon shares closed	(2, 2)	(0, 2)	[(0, 1)]	train
amzn03 26 01	positive	positive	Amazon shares closed Friday up 2.4 % , while Whole Foods shares have skyrocketed more than 29 % .	skyrocketed	Whole Foods shares have skyrocketed	(13, 13)	(9, 13)	[(9, 11)]	train
amzn03 27 00	positive	positive	For the year so far , Amazon is up 38.8 % and Whole Foods is up 31.7 % .	up	Amazon is up	(8, 8)	(6, 8)	[(6, 6)]	train
amzn03 27 01	positive	positive	For the year so far , Amazon is up 38.8 % and Whole Foods is up 31.7 % .	up	Whole Foods is up	(15, 15)	(12, 15)	[(12, 13)]	train
amzn03 28 00	positive	positive	The S & P 500 index SPX , + 0.03 % is up 8.7 % for 2017 to date .	up	S & P 500 index SPX , + 0.03 % is up	(12, 12)	(1, 12)	[(1, 10)]	train
amzn04 00 00	negative	negative	3 Reasons Amazon Is n't Done Growing Yet	Done Growing	Amazon Is n't Done Growing	(5, 6)	(2, 6)	[(2, 2)]	dev
amzn04 01 00	positive	positive	Amazon stock has soared 63,000 % in the past 20 years , and this stock-watcher believes that it is not done yet .	soared	Amazon stock has soared	(3, 3)	(0, 3)	[(0, 1)]	dev
amzn04 01 01	negative	negative	Amazon stock has soared 63,000 % in the past 20 years , and this stock-watcher believes that it is not done yet .	done	Amazon stock has soared 63,000 % in the past 20 years , and this stock-watcher believes that it is not done	(20, 20)	(0, 20)	[(0, 1)]	dev
amzn04 02 00	positive	positive	Amazon has a penchant for disrupting industries .	a penchant for disrupting industries	Amazon has a penchant for disrupting industries	(2, 6)	(0, 6)	[(0, 0)]	dev
amzn04 04 00	positive	positive	Amazon ' s strategy of pouring money aggressively into new ideas has worked wonders so far , helping the stock soar a whopping 63,000 % since going public 20 years ago as its top-line growth has taken off remarkably .	soar	stock soar	(20, 20)	(19, 20)	[(19, 19)]	dev
amzn04 04 01	positive	positive	Amazon ' s strategy of pouring money aggressively into new ideas has worked wonders so far , helping the stock soar a whopping 63,000 % since going public 20 years ago as its top-line growth has taken off remarkably .	has worked wonders so far	Amazon ' s strategy of pouring money aggressively into new ideas has worked wonders so far	(11, 15)	(0, 15)	[(0, 0)]	dev
amzn04 04 02	positive	positive	Amazon ' s strategy of pouring money aggressively into new ideas has worked wonders so far , helping the stock soar a whopping 63,000 % since going public 20 years ago as its top-line growth has taken off remarkably .	top-line growth has taken off remarkably	Amazon ' s strategy of pouring money aggressively into new ideas has worked wonders so far , helping the stock soar a whopping 63,000 % since going public 20 years ago as its top-line growth has taken off remarkably	(33, 38)	(0, 38)	[(0, 0)]	dev
amzn04 05 00	negative	negative	But investors who have missed Amazon ' s gravy train so far should n't worry , as these three catalysts can help sustain the terrific growth .	missed Amazon ' s gravy train	investors who have missed Amazon ' s gravy train	(4, 9)	(1, 9)	[(1, 1)]	dev
amzn04 05 01	negative	negative	But investors who have missed Amazon ' s gravy train so far should n't worry , as these three catalysts can help sustain the terrific growth .	worry	investors who have missed Amazon ' s gravy train so far should n't worry	(14, 14)	(1, 14)	[(1, 1)]	dev
amzn04 05 02	positive	positive	But investors who have missed Amazon ' s gravy train so far should n't worry , as these three catalysts can help sustain the terrific growth .	sustain the terrific growth	investors who have missed Amazon ' s gravy train so far should n't worry , as these three catalysts can help sustain the terrific growth	(22, 25)	(1, 25)	[(5, 5), (1, 1)]	dev
amzn04 07 00	positive	positive	This idea gradually led to the formation of the Amazon Web Services AWS cloud infrastructure business in 2006 , giving it a tremendous lead in the market over rivals such as Microsoft , IBM , and Alphabet .	lead in the market	Amazon Web Services AWS cloud infrastructure business in 2006 , giving it a tremendous lead in the market	(23, 26)	(9, 26)	[(9, 12)]	dev
amzn04 07 01	negative	negative	This idea gradually led to the formation of the Amazon Web Services AWS cloud infrastructure business in 2006 , giving it a tremendous lead in the market over rivals such as Microsoft , IBM , and Alphabet .	lead in the market	lead in the market over rivals such as Microsoft , IBM , and Alphabet	(23, 26)	(23, 36)	[(36, 36), (33, 33), (31, 31)]	dev
amzn04 08 00	positive	positive	AWS has rapidly grown into a major moneymaker for the company .	rapidly grown	AWS has rapidly grown	(2, 3)	(0, 3)	[(0, 0)]	dev
amzn04 08 01	positive	positive	AWS has rapidly grown into a major moneymaker for the company .	major moneymaker for the company	AWS has rapidly grown into a major moneymaker for the company	(6, 10)	(0, 10)	[(0, 0)]	dev
amzn04 09 00	positive	positive	The division ' s revenue jumped 42 % year over year to $ 3.66 billion during the recently reported first quarter , thanks to the adoption of its platform by the likes of Snap , Dunkin ' Brands , and many others .	jumped	jumped	(5, 5)	(5, 5)	[]	dev
amzn04 11 00	positive	positive	More importantly , Amazon ' s early move into cloud infrastructure services has reaped big dividends for the company , as AWS currently leads this space .	reaped big dividends	Amazon ' s early move into cloud infrastructure services has reaped big dividends for the company , as AWS	(13, 15)	(3, 21)	[(3, 3), (21, 21)]	dev
amzn04 11 01	positive	positive	More importantly , Amazon ' s early move into cloud infrastructure services has reaped big dividends for the company , as AWS currently leads this space .	currently leads this space	Amazon ' s early move into cloud infrastructure services has reaped big dividends for the company , as AWS currently leads this space	(22, 25)	(3, 25)	[(3, 3), (21, 21)]	dev
amzn04 12 00	positive	positive	Market analyst firm Canalys puts AWS ' s market share at 31 % in cloud infrastructure services , with Microsoft ' s Azure cloud running a distant second .	puts	puts AWS ' s market share at 31 % in cloud infrastructure services	(4, 4)	(4, 16)	[(5, 5), (14, 16)]	dev
amzn04 12 01	neutral	neutral	Market analyst firm Canalys puts AWS ' s market share at 31 % in cloud infrastructure services , with Microsoft ' s Azure cloud running a distant second .	running a distant second	Microsoft ' s Azure cloud running a distant second	(24, 27)	(19, 27)	[(19, 23)]	dev
amzn04 13 00	positive	positive	In fact , AWS ' s market share exceeds the combined strength of its three closest rivals , according to this data .	exceeds the combined strength of its three closest rivals	AWS ' s market share exceeds the combined strength of its three closest rivals	(8, 16)	(3, 16)	[(3, 3)]	dev
amzn04 14 00	positive	positive	What ' s more , the e-commerce giant is aggressively undertaking steps to defend its lead in this space by adding new features to its cloud services .	aggressively undertaking steps to defend its lead	aggressively undertaking steps to defend its lead	(9, 15)	(9, 15)	[]	dev
amzn04 15 00	positive	positive	For instance , Amazon has now entered the software-as-a-service space with the launch of the Amazon Chime service in February .	launch of the Amazon Chime service	Amazon has now entered the software-as-a-service space with the launch of the Amazon Chime service	(12, 17)	(3, 17)	[(3, 3)]	dev
amzn04 16 00	positive	positive	This move should help it compete more effectively against Microsoft ' s Skype tools that enable cloud-based communication .	help it compete more effectively	help it compete more effectively	(3, 7)	(3, 7)	[]	dev
amzn04 16 01	negative	negative	This move should help it compete more effectively against Microsoft ' s Skype tools that enable cloud-based communication .	help it compete more effectively	help it compete more effectively against Microsoft ' s Skype tools	(3, 7)	(3, 13)	[(9, 13)]	dev
amzn04 17 00	positive	positive	Research and advisory firm Forrester expects public cloud revenue to hit a massive $ 236 billion in 2020 , so Amazon can make a lot more money in this space if it can successfully defend its market share .	hit	public cloud revenue to hit	(10, 10)	(6, 10)	[(6, 8)]	dev
amzn04 17 01	positive	positive	Research and advisory firm Forrester expects public cloud revenue to hit a massive $ 236 billion in 2020 , so Amazon can make a lot more money in this space if it can successfully defend its market share .	make a lot more money in this space	Amazon can make a lot more money in this space	(22, 29)	(20, 29)	[(20, 20)]	dev
amzn04 17 02	positive	positive	Research and advisory firm Forrester expects public cloud revenue to hit a massive $ 236 billion in 2020 , so Amazon can make a lot more money in this space if it can successfully defend its market share .	successfully defend its market share	Amazon can make a lot more money in this space if it can successfully defend its market share	(33, 37)	(20, 37)	[(20, 20)]	dev
amzn04 19 00	positive	positive	Amazon has started taking baby steps in the multibillion-dollar offline grocery market .	baby steps in the multibillion-dollar offline grocery market	Amazon has started taking baby steps in the multibillion-dollar offline grocery market	(4, 11)	(0, 11)	[(0, 0)]	dev
amzn04 20 00	positive	positive	The company started testing the AmazonFresh concept in Seattle earlier this year , enabling customers to order items online then drive to an Amazon location for pick-up at a scheduled time , which can be as quick as 15 minutes after ordering .	started testing	started testing the AmazonFresh	(2, 3)	(2, 5)	[(5, 5)]	dev
amzn04 21 00	neutral	neutral	The company is now testing this concept in Milwaukee as well , charging Amazon Prime members an additional $ 14.99 per month for the Fresh service .	charging	charging Amazon Prime members	(12, 12)	(12, 15)	[(14, 15), (13, 13)]	dev
amzn04 21 01	positive	positive	The company is now testing this concept in Milwaukee as well , charging Amazon Prime members an additional $ 14.99 per month for the Fresh service .	now testing this concept	now testing this concept in Milwaukee as well , charging Amazon	(3, 6)	(3, 13)	[(13, 13)]	dev
amzn04 22 00	positive	positive	The e-commerce giant is making a smart move by trying to sell groceries in this manner .	making a smart move	making a smart move	(4, 7)	(4, 7)	[]	dev
amzn04 23 00	positive	positive	Customers can save a lot of time by pre-ordering items at home and paying online , while receiving fresh groceries at the appointed time .	save a lot of time	Customers can save a lot of time	(2, 6)	(0, 6)	[(0, 0)]	dev
amzn04 25 00	positive	positive	Amazon ' s Prime Video streaming service has reportedly racked up an impressive number of users within a short time , challenging established streaming companies such as Netflix and Hulu .	challenging established streaming companies	Amazon ' s Prime Video streaming service has reportedly racked up an impressive number of users within a short time , challenging established streaming companies	(21, 24)	(0, 24)	[(3, 4), (0, 0)]	dev
amzn04 25 01	negative	negative	Amazon ' s Prime Video streaming service has reportedly racked up an impressive number of users within a short time , challenging established streaming companies such as Netflix and Hulu .	challenging established streaming companies	challenging established streaming companies such as Netflix and Hulu	(21, 24)	(21, 29)	[(29, 29), (27, 27)]	dev
amzn04 26 00	neutral	neutral	Amazon was estimated in 2016 to have 76 million Prime Video subscribers , which significantly exceeds Netflix ' s 47 million U.S . subscribers .	have	Amazon was estimated in 2016 to have 76 million Prime Video subscribers	(6, 6)	(0, 11)	[(9, 11), (0, 0)]	dev
amzn04 26 01	negative	negative	Amazon was estimated in 2016 to have 76 million Prime Video subscribers , which significantly exceeds Netflix ' s 47 million U.S . subscribers .	exceeds	exceeds Netflix	(15, 15)	(15, 16)	[(16, 16)]	dev
amzn04 26 02	positive	positive	Amazon was estimated in 2016 to have 76 million Prime Video subscribers , which significantly exceeds Netflix ' s 47 million U.S . subscribers .	exceeds	Amazon was estimated in 2016 to have 76 million Prime Video subscribers , which significantly exceeds	(15, 15)	(0, 15)	[(0, 0)]	dev
amzn04 27 00	positive	positive	The video subscriber growth is a result of the company ' s strategy of bundling the service with the $ 99 annual fee for the Prime subscription , which also includes early access to deals and priority shipping .	video subscriber growth	video subscriber growth	(1, 3)	(1, 3)	[]	dev
amzn04 28 00	positive	positive	The company also offers Prime Video as a stand-alone service for a monthly fee of $ 8.99 , making it cheaper than Netflix ' s $ 9.99 plan while also enhancing its appeal among customers who do n't want the entire Prime package .	cheaper	Prime Video as a stand-alone service for a monthly fee of $ 8.99 , making it cheaper	(20, 20)	(4, 20)	[(4, 5)]	dev
amzn04 28 01	positive	positive	The company also offers Prime Video as a stand-alone service for a monthly fee of $ 8.99 , making it cheaper than Netflix ' s $ 9.99 plan while also enhancing its appeal among customers who do n't want the entire Prime package .	enhancing its appeal	Prime Video as a stand-alone service for a monthly fee of $ 8.99 , making it cheaper than Netflix ' s $ 9.99 plan while also enhancing its appeal	(30, 32)	(4, 32)	[(4, 5)]	dev
amzn04 29 00	positive	positive	Video has also helped push up advertising dollars .	push up advertising dollars	Video has also helped push up advertising dollars	(4, 7)	(0, 7)	[(0, 0)]	dev
amzn04 30 00	positive	positive	Amazon could bring more subscribers into its fold thanks to its latest move of offering live television through Prime Video , allowing customers to choose and pay for specific channels .	bring more subscribers into its fold	Amazon could bring more subscribers into its fold	(2, 7)	(0, 7)	[(0, 0)]	dev
amzn04 31 00	positive	positive	A Morgan Stanley research note has said Amazon ' s advertising business could grow to $ 5 billion in 2018 .	grow	Amazon ' s advertising business could grow	(13, 13)	(7, 13)	[(7, 7)]	dev
amzn04 33 00	negative	negative	Amazon is not going to run out of steam anytime soon as it pursues multibillion-dollar revenue opportunities in these fast-growing industries .	run out of steam	Amazon is not going to run out of steam	(5, 8)	(0, 8)	[(0, 0)]	dev
amzn04 33 01	positive	positive	Amazon is not going to run out of steam anytime soon as it pursues multibillion-dollar revenue opportunities in these fast-growing industries .	pursues multibillion-dollar revenue opportunities	Amazon is not going to run out of steam anytime soon as it pursues multibillion-dollar revenue opportunities	(13, 16)	(0, 16)	[(0, 0)]	dev
amzn04 33 02	positive	positive	Amazon is not going to run out of steam anytime soon as it pursues multibillion-dollar revenue opportunities in these fast-growing industries .	fast-growing industries	Amazon is not going to run out of steam anytime soon as it pursues multibillion-dollar revenue opportunities in these fast-growing industries	(19, 20)	(0, 20)	[(0, 0)]	dev
amzn04 34 00	negative	negative	Investor should n't doubt the company ' s ability to deliver more upside after fantastic gains over the past two decades .	doubt the company ' s ability to deliver more upside	doubt the company ' s ability to deliver more upside	(3, 12)	(3, 12)	[]	dev
amzn04 34 01	positive	positive	Investor should n't doubt the company ' s ability to deliver more upside after fantastic gains over the past two decades .	fantastic gains over the past two decades	fantastic gains over the past two decades	(14, 20)	(14, 20)	[]	dev
amzn05 00 00	positive	positive	Amazon expects to hire at least 1,000 at its new Troutdale facility	hire	Amazon expects to hire at least 1,000	(3, 3)	(0, 6)	[(4, 6), (0, 0)]	train
amzn05 00 01	positive	positive	Amazon expects to hire at least 1,000 at its new Troutdale facility	facility	Amazon expects to hire at least 1,000 at its new Troutdale facility	(11, 11)	(0, 11)	[(0, 0), (8, 11)]	train
amzn05 01 00	positive	positive	Online retail giant Amazon plans to hire at least 1,000 workers for its planned distribution center in Troutdale .	giant	Online retail giant Amazon	(2, 2)	(0, 3)	[(0, 1), (3, 3)]	train
amzn05 01 01	positive	positive	Online retail giant Amazon plans to hire at least 1,000 workers for its planned distribution center in Troutdale .	hire	Online retail giant Amazon plans to hire at least 1,000 workers	(6, 6)	(0, 10)	[(0, 3), (7, 10)]	train
amzn05 01 02	neutral	neutral	Online retail giant Amazon plans to hire at least 1,000 workers for its planned distribution center in Troutdale .	planned distribution center	Amazon plans to hire at least 1,000 workers for its planned distribution center	(13, 15)	(3, 15)	[(3, 3), (14, 15)]	train
amzn05 03 00	positive	positive	"Up until then , negotiations between the city and Amazon had been governed by strict non-disclosure agreements and spoke only of a "" Project Piper . """	negotiations	negotiations between the city and Amazon	(4, 4)	(4, 9)	[(6, 7), (9, 9)]	train
amzn05 03 01	neutral	neutral	"Up until then , negotiations between the city and Amazon had been governed by strict non-disclosure agreements and spoke only of a "" Project Piper . """	non-disclosure agreements	the city and Amazon had been governed by strict non-disclosure agreements	(15, 16)	(6, 16)	[(6, 7), (9, 9)]	train
amzn05 04 00	positive	positive	At the council meeting , held May 23 and available in audio format on the city ' s web site , Troutdale ' s finance director Erich Mueller said Amazon had committed to 1,050 full-time employees at the 855,000 - square-foot site , but the actual number will likely be double that .	committed	Amazon had committed to 1,050 full-time employees	(31, 31)	(29, 35)	[(33, 35), (29, 29)]	train
amzn05 04 01	positive	positive	At the council meeting , held May 23 and available in audio format on the city ' s web site , Troutdale ' s finance director Erich Mueller said Amazon had committed to 1,050 full-time employees at the 855,000 - square-foot site , but the actual number will likely be double that .	actual number will likely be double that	Amazon had committed to 1,050 full-time employees at the 855,000 - square-foot site , but the actual number will likely be double that	(45, 51)	(29, 51)	[(29, 29)]	train
amzn05 05 00	positive	positive	The employee count will rise even higher on a seasonal basis around the holidays .	The employee count will rise	The employee count will rise	(0, 4)	(0, 4)	[]	train
amzn05 06 00	positive	positive	Backing up that assumption are plans that show 2,200 parking spaces for the facility .	plans that show 2,200 parking spaces	plans that show 2,200 parking spaces for the facility	(5, 10)	(5, 13)	[(8, 13)]	train
amzn05 07 00	positive	positive	According to the Gresham Outlook , Amazon plans to invest $178.4 million in the robotics fulfillment center , and the company will receive a five-year tax abatement worth close to $9.6 million .	invest	Amazon plans to invest $178.4 million in the robotics fulfillment center	(9, 9)	(6, 16)	[(6, 6), (13, 16)]	train
amzn05 07 01	positive	positive	According to the Gresham Outlook , Amazon plans to invest $178.4 million in the robotics fulfillment center , and the company will receive a five-year tax abatement worth close to $9.6 million .	tax abatement	the company will receive a five-year tax abatement	(25, 26)	(19, 26)	[(19, 20)]	train
amzn05 08 00	positive	positive	"Gov . Kate Brown will make a "" major jobs announcement "" in Troutdale tomorrow , according to a press advisory ."	major jobs announcement	major jobs announcement	(8, 10)	(8, 10)	[]	train
