lex-uncased	negative	positive	uncertainty	litigious	constraining	interesting	modal
crime	1	0	0	1	0	0	0
crimes	1	0	0	1	0	0	0
criminal	1	0	0	1	0	0	0
criminality	0	0	0	1	0	0	0
criminalize	0	0	0	1	0	0	0
criminalizing	0	0	0	1	0	0	0
criminally	1	0	0	1	0	0	0
criminals	1	0	0	1	0	0	0
crises	1	0	0	0	0	0	0
crisis	1	0	0	0	0	0	0
critical	1	0	0	0	0	0	0
critically	1	0	0	0	0	0	0
criticism	1	0	0	0	0	0	0
criticisms	1	0	0	0	0	0	0
criticize	1	0	0	0	0	0	0
criticized	1	0	0	0	0	0	0
criticizes	1	0	0	0	0	0	0
criticizing	1	0	0	0	0	0	0
crossclaim	0	0	0	1	0	0	0
crossclaims	0	0	0	1	0	0	0
crossroad	0	0	1	0	0	0	0
crossroads	0	0	1	0	0	0	0
crucial	1	0	0	0	0	0	0
crucially	1	0	0	0	0	0	0
culpability	1	0	0	0	0	0	0
culpable	1	0	0	0	0	0	0
culpably	1	0	0	0	0	0	0
cumbersome	1	0	0	0	0	0	0
curtail	1	0	0	0	0	0	0
curtailed	1	0	0	0	0	0	0
curtailing	1	0	0	0	0	0	0
curtailment	1	0	0	0	0	0	0
curtailments	1	0	0	0	0	0	0
curtails	1	0	0	0	0	0	0
cut	1	0	0	0	0	0	0
cutback	1	0	0	0	0	0	0
cutbacks	1	0	0	0	0	0	0
cyberattack	1	0	0	0	0	0	0
cyberattacks	1	0	0	0	0	0	0
cyberbullying	1	0	0	0	0	0	0
cybercrime	1	0	0	0	0	0	0
cybercrimes	1	0	0	0	0	0	0
cybercriminal	1	0	0	0	0	0	0
cybercriminals	1	0	0	0	0	0	0
damage	1	0	0	0	0	0	0
damaged	1	0	0	0	0	0	0
damages	1	0	0	0	0	0	0
damaging	1	0	0	0	0	0	0
dampen	1	0	0	0	0	0	0
dampened	1	0	0	0	0	0	0
danger	1	0	0	0	0	0	0
dangerous	1	0	0	0	0	0	0
dangerously	1	0	0	0	0	0	0
dangers	1	0	0	0	0	0	0
deadlock	1	0	0	0	0	0	0
deadlocked	1	0	0	0	0	0	0
deadlocking	1	0	0	0	0	0	0
deadlocks	1	0	0	0	0	0	0
deadweight	1	0	0	0	0	0	0
deadweights	1	0	0	0	0	0	0
death	0	0	0	0	0	1	0
debarment	1	0	0	0	0	0	0
debarments	1	0	0	0	0	0	0
debarred	1	0	0	0	0	0	0
debilitating	0	0	0	0	0	1	0
deceased	1	0	0	0	0	0	0
decedent	0	0	0	1	0	0	0
decedents	0	0	0	1	0	0	0
deceit	1	0	0	0	0	0	0
deceitful	1	0	0	0	0	0	0
deceitfulness	1	0	0	0	0	0	0
deceive	1	0	0	0	0	0	0
deceived	1	0	0	0	0	0	0
deceives	1	0	0	0	0	0	0
deceiving	1	0	0	0	0	0	0
deception	1	0	0	0	0	0	0
deceptions	1	0	0	0	0	0	0
deceptive	1	0	0	0	0	0	0
deceptively	1	0	0	0	0	0	0
declarant	0	0	0	1	0	0	0
decline	1	0	0	0	0	0	0
declined	1	0	0	0	0	0	0
declines	1	0	0	0	0	0	0
declining	1	0	0	0	0	0	0
decrease	0	0	0	0	0	1	0
decreases	0	0	0	0	0	1	0
decreasing	0	0	0	0	0	1	0
decree	0	0	0	1	0	0	0
decreed	0	0	0	1	0	0	0
decreeing	0	0	0	1	0	0	0
decrees	0	0	0	1	0	0	0
deface	1	0	0	0	0	0	0
defaced	1	0	0	0	0	0	0
defacement	1	0	0	0	0	0	0
defalcation	0	0	0	1	0	0	0
defalcations	0	0	0	1	0	0	0
defamation	1	0	0	0	0	0	0
defamations	1	0	0	0	0	0	0
defamatory	1	0	0	0	0	0	0
defame	1	0	0	0	0	0	0
defamed	1	0	0	0	0	0	0
defames	1	0	0	0	0	0	0
defaming	1	0	0	0	0	0	0
default	1	0	0	0	0	0	0
defaulted	1	0	0	0	0	0	0
defaulting	1	0	0	0	0	0	0
defaults	1	0	0	0	0	0	0
defeasance	0	0	0	1	0	0	0
defeasances	0	0	0	1	0	0	0
defease	0	0	0	1	0	0	0
defeased	0	0	0	1	0	0	0
defeasement	0	0	0	1	0	0	0
defeases	0	0	0	1	0	0	0
defeasing	0	0	0	1	0	0	0
defeat	1	0	0	0	0	0	0
defeated	1	0	0	0	0	0	0
defeating	1	0	0	0	0	0	0
defeats	1	0	0	0	0	0	0
defect	1	0	0	0	0	0	0
defective	1	0	0	0	0	0	0
defectively	0	0	0	1	0	0	0
defects	1	0	0	0	0	0	0
defend	1	0	0	0	0	0	0
defendable	0	0	0	1	0	0	0
defendant	1	0	0	1	0	0	0
defendants	1	0	0	1	0	0	0
defended	1	0	0	0	0	0	0
defending	1	0	0	0	0	0	0
defends	1	0	0	0	0	0	0
defensive	1	0	0	0	0	0	0
defer	1	0	0	0	0	0	0
deference	0	0	0	1	0	0	0
deficiencies	1	0	0	0	0	0	0
deficiency	1	0	0	0	0	0	0
deficient	1	0	0	0	0	0	0
deficit	1	0	0	0	0	0	0
deficits	1	0	0	0	0	0	0
definitely	0	0	0	0	0	0	1
definitively	0	0	0	0	0	0	1
defraud	1	0	0	0	0	0	0
defrauded	1	0	0	0	0	0	0
defrauding	1	0	0	0	0	0	0
defrauds	1	0	0	0	0	0	0
defunct	1	0	0	0	0	0	0
degradation	1	0	0	0	0	0	0
degradations	1	0	0	0	0	0	0
degrade	1	0	0	0	0	0	0
degraded	1	0	0	0	0	0	0
degrades	1	0	0	0	0	0	0
degrading	1	0	0	0	0	0	0
delay	1	0	0	0	0	0	0
delayed	1	0	0	0	0	0	0
delaying	1	0	0	0	0	0	0
delays	1	0	0	0	0	0	0
delegable	0	0	0	1	0	0	0
delegatable	0	0	0	1	0	0	0
delegatee	0	0	0	1	0	0	0
delegees	0	0	0	1	0	0	0
deleterious	1	0	0	0	0	0	0
deliberate	1	0	0	0	0	0	0
deliberated	1	0	0	0	0	0	0
deliberately	1	0	0	0	0	0	0
delight	0	1	0	0	0	0	0
delighted	0	1	0	0	0	0	0
delightful	0	1	0	0	0	0	0
delightfully	0	1	0	0	0	0	0
delighting	0	1	0	0	0	0	0
delights	0	1	0	0	0	0	0
delinquencies	1	0	0	0	0	0	0
delinquency	1	0	0	0	0	0	0
delinquent	1	0	0	0	0	0	0
delinquently	1	0	0	0	0	0	0
delinquents	1	0	0	0	0	0	0
delist	1	0	0	0	0	0	0
delisted	1	0	0	0	0	0	0
delisting	1	0	0	0	0	0	0
delists	1	0	0	0	0	0	0
demise	1	0	0	0	0	0	0
demised	1	0	0	0	0	0	0
demises	1	0	0	0	0	0	0
demising	1	0	0	0	0	0	0
demolish	1	0	0	0	0	0	0
demolished	1	0	0	0	0	0	0
demolishes	1	0	0	0	0	0	0
demolishing	1	0	0	0	0	0	0
demolition	1	0	0	0	0	0	0
demolitions	1	0	0	0	0	0	0
demote	1	0	0	0	0	0	0
demoted	1	0	0	0	0	0	0
demotes	1	0	0	0	0	0	0
demoting	1	0	0	0	0	0	0
demotion	1	0	0	0	0	0	0
demotions	1	0	0	0	0	0	0
demurred	0	0	0	1	0	0	0
demurrer	0	0	0	1	0	0	0
demurrers	0	0	0	1	0	0	0
demurring	0	0	0	1	0	0	0
demurs	0	0	0	1	0	0	0
denial	1	0	0	0	0	0	0
denials	1	0	0	0	0	0	0
denied	1	0	0	0	0	0	0
denies	1	0	0	0	0	0	0
denigrate	1	0	0	0	0	0	0
denigrated	1	0	0	0	0	0	0
denigrates	1	0	0	0	0	0	0
denigrating	1	0	0	0	0	0	0
denigration	1	0	0	0	0	0	0
deny	1	0	0	0	0	0	0
denying	1	0	0	0	0	0	0
depend	0	0	1	0	1	0	1
dependability	0	1	0	0	0	0	0
dependable	0	1	0	0	0	0	0
dependance	0	0	0	0	1	0	0
dependances	0	0	0	0	1	0	0
dependant	0	0	0	0	1	0	0
depended	0	0	1	0	0	0	1
dependence	0	0	1	0	0	0	0
dependencies	0	0	1	0	1	0	0
dependency	0	0	1	0	0	0	0
dependent	0	0	1	0	1	0	0
depending	0	0	1	0	1	0	1
depends	0	0	1	0	1	0	1
deplete	1	0	0	0	0	0	0
depleted	1	0	0	0	0	0	0
depletes	1	0	0	0	0	0	0
depleting	1	0	0	0	0	0	0
depletion	1	0	0	0	0	0	0
depletions	1	0	0	0	0	0	0
depose	0	0	0	1	0	0	0
deposed	0	0	0	1	0	0	0
deposes	0	0	0	1	0	0	0
deposing	0	0	0	1	0	0	0
deposition	0	0	0	1	0	0	0
depositional	0	0	0	1	0	0	0
depositions	0	0	0	1	0	0	0
deprecation	1	0	0	0	0	0	0
depress	1	0	0	0	0	0	0
depressed	1	0	0	0	0	0	0
depresses	1	0	0	0	0	0	0
depressing	1	0	0	0	0	0	0
deprivation	1	0	0	0	0	0	0
deprive	1	0	0	0	0	0	0
deprived	1	0	0	0	0	0	0
deprives	1	0	0	0	0	0	0
depriving	1	0	0	0	0	0	0
derelict	1	0	0	0	0	0	0
dereliction	1	0	0	0	0	0	0
derogate	0	0	0	1	0	0	0
derogated	0	0	0	1	0	0	0
derogates	0	0	0	1	0	0	0
derogating	0	0	0	1	0	0	0
derogation	0	0	0	1	0	0	0
derogations	0	0	0	1	0	0	0
derogatory	1	0	0	0	0	0	0
designator	0	0	0	1	0	0	0
desirable	0	1	0	0	0	0	0
desired	0	1	0	0	0	0	0
desist	0	0	0	1	0	0	0
despite	0	1	0	0	0	0	0
destabilization	1	0	0	0	0	0	0
destabilize	1	0	0	0	0	0	0
destabilized	1	0	0	0	0	0	0
destabilizing	1	0	1	0	0	0	0
destined	0	1	0	0	0	0	0
destroy	1	0	0	0	0	0	0
destroyed	1	0	0	0	0	0	0
destroyer	0	0	0	0	0	1	0
destroying	1	0	0	0	0	0	0
destroys	1	0	0	0	0	0	0
destruction	1	0	0	0	0	0	0
destructive	1	0	0	0	0	0	0
detain	1	0	0	0	0	0	0
detained	1	0	0	0	0	0	0
detainer	0	0	0	1	0	0	0
detention	1	0	0	0	0	0	0
detentions	1	0	0	0	0	0	0
deter	1	0	0	0	0	0	0
deteriorate	1	0	0	0	0	0	0
deteriorated	1	0	0	0	0	0	0
deteriorates	1	0	0	0	0	0	0
deteriorating	1	0	0	0	0	0	0
deterioration	1	0	0	0	0	0	0
deteriorations	1	0	0	0	0	0	0
deterred	1	0	0	0	0	0	0
deterrence	1	0	0	0	0	0	0
deterrences	1	0	0	0	0	0	0
deterrent	1	0	0	0	0	0	0
deterrents	1	0	0	0	0	0	0
deterring	1	0	0	0	0	0	0
deters	1	0	0	0	0	0	0
detract	1	0	0	0	0	0	0
detracted	1	0	0	0	0	0	0
detracting	1	0	0	0	0	0	0
detriment	1	0	0	0	0	0	0
detrimental	1	0	0	0	0	0	0
detrimentally	1	0	0	0	0	0	0
detriments	1	0	0	0	0	0	0
devalue	1	0	0	0	0	0	0
devalued	1	0	0	0	0	0	0
devalues	1	0	0	0	0	0	0
devaluing	1	0	0	0	0	0	0
devastate	1	0	0	0	0	0	0
devastated	1	0	0	0	0	0	0
devastating	1	0	0	0	0	0	0
devastation	1	0	0	0	0	0	0
deviate	1	0	1	0	0	0	0
deviated	1	0	1	0	0	0	0
deviates	1	0	1	0	0	0	0
deviating	1	0	1	0	0	0	0
deviation	1	0	1	0	0	0	0
deviations	1	0	1	0	0	0	0
devisees	0	0	0	1	0	0	0
devolve	1	0	0	0	0	0	0
devolved	1	0	0	0	0	0	0
devolves	1	0	0	0	0	0	0
devolving	1	0	0	0	0	0	0
diagnosed	0	0	0	0	0	1	0
dictate	0	0	0	0	1	0	0
dictated	0	0	0	0	1	0	0
dictates	0	0	0	0	1	0	0
dictating	0	0	0	0	1	0	0
die	0	0	0	0	0	1	0
died	0	0	0	0	0	1	0
dies	0	0	0	0	0	1	0
differ	0	0	1	0	0	0	0
differed	0	0	1	0	0	0	0
differing	0	0	1	0	0	0	0
differs	0	0	1	0	0	0	0
difficult	1	0	0	0	0	0	0
difficulties	1	0	0	0	0	0	0
difficultly	1	0	0	0	0	0	0
difficulty	1	0	0	0	0	0	0
diligent	0	1	0	0	0	0	0
diligently	0	1	0	0	0	0	0
diminish	1	0	0	0	0	0	0
diminished	1	0	0	0	0	0	0
diminishes	1	0	0	0	0	0	0
diminishing	1	0	0	0	0	0	0
diminution	1	0	0	0	0	0	0
directive	0	0	0	0	1	0	0
directives	0	0	0	0	1	0	0
disabled	0	0	0	0	0	1	0
disadvantage	1	0	0	0	0	0	0
disadvantaged	1	0	0	0	0	0	0
disadvantageous	1	0	0	0	0	0	0
disadvantages	1	0	0	0	0	0	0
disaffiliation	1	0	0	1	0	0	0
disaffirm	0	0	0	1	0	0	0
disaffirmance	0	0	0	1	0	0	0
disaffirmed	0	0	0	1	0	0	0
disaffirms	0	0	0	1	0	0	0
disagree	1	0	0	0	0	0	0
disagreeable	1	0	0	0	0	0	0
disagreed	1	0	0	0	0	0	0
disagreeing	1	0	0	0	0	0	0
disagreement	1	0	0	0	0	0	0
disagreements	1	0	0	0	0	0	0
disagrees	1	0	0	0	0	0	0
disallow	1	0	0	0	0	0	0
disallowance	1	0	0	0	0	0	0
disallowances	1	0	0	0	0	0	0
disallowed	1	0	0	0	0	0	0
disallowing	1	0	0	0	0	0	0
disallows	1	0	0	0	0	0	0
disappear	1	0	0	0	0	0	0
disappearance	1	0	0	0	0	0	0
disappearances	1	0	0	0	0	0	0
disappeared	1	0	0	0	0	0	0
disappearing	1	0	0	0	0	0	0
disappears	1	0	0	0	0	0	0
disappoint	1	0	0	0	0	0	0
disappointed	1	0	0	0	0	0	0
disappointing	1	0	0	0	0	0	0
disappointingly	1	0	0	0	0	0	0
disappointment	1	0	0	0	0	0	0
disappointments	1	0	0	0	0	0	0
disappoints	1	0	0	0	0	0	0
disapproval	1	0	0	0	0	0	0
disapprovals	1	0	0	0	0	0	0
disapprove	1	0	0	0	0	0	0
disapproved	1	0	0	0	0	0	0
disapproves	1	0	0	0	0	0	0
disapproving	1	0	0	0	0	0	0
disassociates	1	0	0	0	0	0	0
disassociating	1	0	0	0	0	0	0
disassociation	1	0	0	0	0	0	0
disassociations	1	0	0	0	0	0	0
disaster	1	0	0	0	0	0	0
disasters	1	0	0	0	0	0	0
disastrous	1	0	0	0	0	0	0
disastrously	1	0	0	0	0	0	0
disavow	1	0	0	0	0	0	0
disavowal	1	0	0	0	0	0	0
disavowed	1	0	0	0	0	0	0
disavowing	1	0	0	0	0	0	0
disavows	1	0	0	0	0	0	0
disciplinary	1	0	0	0	0	0	0
disclaim	1	0	0	0	0	0	0
disclaimed	1	0	0	0	0	0	0
disclaimer	1	0	0	0	0	0	0
disclaimers	1	0	0	0	0	0	0
disclaiming	1	0	0	0	0	0	0
disclaims	1	0	0	0	0	0	0
disclose	1	0	0	0	0	0	0
disclosed	1	0	0	0	0	0	0
discloses	1	0	0	0	0	0	0
disclosing	1	0	0	0	0	0	0
discontinuance	1	0	0	0	0	0	0
discontinuances	1	0	0	0	0	0	0
discontinuation	1	0	0	0	0	0	0
discontinuations	1	0	0	0	0	0	0
discontinue	1	0	0	0	0	0	0
discontinued	1	0	0	0	0	0	0
discontinues	1	0	0	0	0	0	0
discontinuing	1	0	0	0	0	0	0
discourage	1	0	0	0	0	0	0
discouraged	1	0	0	0	0	0	0
discourages	1	0	0	0	0	0	0
discouraging	1	0	0	0	0	0	0
discover	0	0	0	0	0	1	0
discredit	1	0	0	0	0	0	0
discredited	1	0	0	0	0	0	0
discrediting	1	0	0	0	0	0	0
discredits	1	0	0	0	0	0	0
discrepancies	1	0	0	0	0	0	0
discrepancy	1	0	0	0	0	0	0
diseased	0	0	0	0	0	1	0
disfavor	1	0	0	0	0	0	0
disfavored	1	0	0	0	0	0	0
disfavoring	1	0	0	0	0	0	0
disfavors	1	0	0	0	0	0	0
disgorge	1	0	0	0	0	0	0
disgorged	1	0	0	0	0	0	0
disgorgement	1	0	0	0	0	0	0
disgorgements	1	0	0	0	0	0	0
disgorges	1	0	0	0	0	0	0
disgorging	1	0	0	0	0	0	0
disgrace	1	0	0	0	0	0	0
disgraceful	1	0	0	0	0	0	0
disgracefully	1	0	0	0	0	0	0
dishonest	1	0	0	0	0	0	0
dishonestly	1	0	0	0	0	0	0
dishonesty	1	0	0	0	0	0	0
dishonor	1	0	0	0	0	0	0
dishonorable	1	0	0	0	0	0	0
dishonorably	1	0	0	0	0	0	0
dishonored	1	0	0	0	0	0	0
dishonoring	1	0	0	0	0	0	0
dishonors	1	0	0	0	0	0	0
disincentives	1	0	0	0	0	0	0
disinterested	1	0	0	0	0	0	0
disinterestedly	1	0	0	0	0	0	0
disinterestedness	1	0	0	0	0	0	0
disloyal	1	0	0	0	0	0	0
disloyally	1	0	0	0	0	0	0
disloyalty	1	0	0	0	0	0	0
dismal	1	0	0	0	0	0	0
dismally	1	0	0	0	0	0	0
dismiss	1	0	0	0	0	0	0
dismissal	1	0	0	0	0	0	0
dismissals	1	0	0	0	0	0	0
dismissed	1	0	0	0	0	0	0
dismisses	1	0	0	0	0	0	0
dismissing	1	0	0	0	0	0	0
disorderly	1	0	0	0	0	0	0
disparage	1	0	0	0	0	0	0
disparaged	1	0	0	0	0	0	0
disparagement	1	0	0	0	0	0	0
disparagements	1	0	0	0	0	0	0
disparages	1	0	0	0	0	0	0
disparaging	1	0	0	0	0	0	0
disparagingly	1	0	0	0	0	0	0
disparities	1	0	0	0	0	0	0
disparity	1	0	0	0	0	0	0
displace	1	0	0	0	0	0	0
displaced	1	0	0	0	0	0	0
displacement	1	0	0	0	0	0	0
displacements	1	0	0	0	0	0	0
displaces	1	0	0	0	0	0	0
displacing	1	0	0	0	0	0	0
dispose	1	0	0	0	0	0	0
dispositive	0	0	0	1	0	0	0
dispossess	1	0	0	0	0	0	0
dispossessed	1	0	0	0	0	0	0
dispossesses	1	0	0	0	0	0	0
dispossessing	1	0	0	0	0	0	0
dispossession	0	0	0	1	0	0	0
dispossessory	0	0	0	1	0	0	0
disproportion	1	0	0	0	0	0	0
disproportional	1	0	0	0	0	0	0
disproportionate	1	0	0	0	0	0	0
disproportionately	1	0	0	0	0	0	0
dispute	1	0	0	0	0	0	0
disputed	1	0	0	0	0	0	0
disputes	1	0	0	0	0	0	0
disputing	1	0	0	0	0	0	0
disqualification	1	0	0	0	0	0	0
disqualifications	1	0	0	0	0	0	0
disqualified	1	0	0	0	0	0	0
disqualifies	1	0	0	0	0	0	0
disqualify	1	0	0	0	0	0	0
disqualifying	1	0	0	0	0	0	0
disregard	1	0	0	0	0	0	0
disregarded	1	0	0	0	0	0	0
disregarding	1	0	0	0	0	0	0
disregards	1	0	0	0	0	0	0
disreputable	1	0	0	0	0	0	0
disrepute	1	0	0	0	0	0	0
disrupt	1	0	0	0	0	0	0
disrupted	1	0	0	0	0	0	0
disrupting	1	0	0	0	0	0	0
disruption	1	0	0	0	0	0	0
disruptions	1	0	0	0	0	0	0
disruptive	1	0	0	0	0	0	0
disrupts	1	0	0	0	0	0	0
dissatisfaction	1	0	0	0	0	0	0
dissatisfied	1	0	0	0	0	0	0
dissent	1	0	0	0	0	0	0
dissented	1	0	0	0	0	0	0
dissenter	1	0	0	0	0	0	0
dissenters	1	0	0	0	0	0	0
dissenting	1	0	0	0	0	0	0
dissents	1	0	0	0	0	0	0
dissident	1	0	0	0	0	0	0
dissidents	1	0	0	0	0	0	0
dissolution	1	0	0	0	0	0	0
dissolutions	1	0	0	0	0	0	0
distinction	0	1	0	0	0	0	0
distinctions	0	1	0	0	0	0	0
distinctive	0	1	0	0	0	0	0
distinctively	0	1	0	0	0	0	0
distinctiveness	0	1	0	0	0	0	0
distort	1	0	0	0	0	0	0
distorted	1	0	0	0	0	0	0
distorting	1	0	0	0	0	0	0
distortion	1	0	0	0	0	0	0
distortions	1	0	0	0	0	0	0
distorts	1	0	0	0	0	0	0
distract	1	0	0	0	0	0	0
distracted	1	0	0	0	0	0	0
distracting	1	0	0	0	0	0	0
distraction	1	0	0	0	0	0	0
distractions	1	0	0	0	0	0	0
distracts	1	0	0	0	0	0	0
distraint	0	0	0	1	0	0	0
distress	1	0	0	0	0	0	0
distressed	1	0	0	0	0	0	0
distributee	0	0	0	1	0	0	0
distributees	0	0	0	1	0	0	0
disturb	1	0	0	0	0	0	0
disturbance	1	0	0	0	0	0	0
disturbances	1	0	0	0	0	0	0
disturbed	1	0	0	0	0	0	0
disturbing	1	0	0	0	0	0	0
disturbs	1	0	0	0	0	0	0
diversion	1	0	0	0	0	0	0
divert	1	0	0	0	0	0	0
diverted	1	0	0	0	0	0	0
diverting	1	0	0	0	0	0	0
diverts	1	0	0	0	0	0	0
divest	1	0	0	0	0	0	0
divested	1	0	0	0	0	0	0
divesting	1	0	0	0	0	0	0
divestiture	1	0	0	0	0	0	0
divestitures	1	0	0	0	0	0	0
divestment	1	0	0	0	0	0	0
divestments	1	0	0	0	0	0	0
divests	1	0	0	0	0	0	0
divorce	1	0	0	0	0	0	0
divorced	1	0	0	0	0	0	0
divulge	1	0	0	0	0	0	0
divulged	1	0	0	0	0	0	0
divulges	1	0	0	0	0	0	0
divulging	1	0	0	0	0	0	0
docket	0	0	0	1	0	0	0
docketed	0	0	0	1	0	0	0
docketing	0	0	0	1	0	0	0
dockets	0	0	0	1	0	0	0
donees	0	0	0	1	0	0	0
doubt	1	0	1	0	0	0	0
doubted	1	0	1	0	0	0	0
doubtful	1	0	1	0	0	0	0
doubts	1	0	1	0	0	0	0
downgrade	1	0	0	0	0	0	0
downgraded	1	0	0	0	0	0	0
downgrades	1	0	0	0	0	0	0
downgrading	1	0	0	0	0	0	0
downsize	1	0	0	0	0	0	0
downsized	1	0	0	0	0	0	0
downsizes	1	0	0	0	0	0	0
downsizing	1	0	0	0	0	0	0
downsizings	1	0	0	0	0	0	0
downtime	1	0	0	0	0	0	0
downtimes	1	0	0	0	0	0	0
downturn	1	0	0	0	0	0	0
downturns	1	0	0	0	0	0	0
downward	1	0	0	0	0	0	0
downwards	1	0	0	0	0	0	0
drag	1	0	0	0	0	0	0
drastic	1	0	0	0	0	0	0
drastically	1	0	0	0	0	0	0
drawback	1	0	0	0	0	0	0
drawbacks	1	0	0	0	0	0	0
dream	0	1	0	0	0	0	0
drop	0	0	0	0	0	1	0
dropped	1	0	0	0	0	0	0
drought	1	0	0	0	0	0	0
droughts	1	0	0	0	0	0	0
duly	0	0	0	1	0	0	0
duress	1	0	0	0	0	0	0
dysfunction	1	0	0	0	0	0	0
dysfunctional	1	0	0	0	0	0	0
dysfunctions	1	0	0	0	0	0	0
earmark	0	0	0	0	1	0	0
earmarked	0	0	0	0	1	0	0
earmarking	0	0	0	0	1	0	0
earmarks	0	0	0	0	1	0	0
easier	0	1	0	0	0	0	0
easily	0	1	0	0	0	0	0
easing	1	0	0	0	0	0	0
easy	0	1	0	0	0	0	0
effective	0	1	0	0	0	0	0
efficiencies	0	1	0	0	0	0	0
efficiency	0	1	0	0	0	0	0
efficient	0	1	0	0	0	0	0
efficiently	0	1	0	0	0	0	0
egregious	1	0	0	0	0	0	0
egregiously	1	0	0	0	0	0	0
ejectment	0	0	0	1	0	0	0
embargo	1	0	0	0	0	0	0
embargoed	1	0	0	0	0	0	0
embargoes	1	0	0	0	0	0	0
embargoing	1	0	0	0	0	0	0
embarrass	1	0	0	0	0	0	0
embarrassed	1	0	0	0	0	0	0
embarrasses	1	0	0	0	0	0	0
embarrassing	1	0	0	0	0	0	0
embarrassment	1	0	0	0	0	0	0
embarrassments	1	0	0	0	0	0	0
embezzle	1	0	0	0	0	0	0
embezzled	1	0	0	0	0	0	0
embezzlement	1	0	0	0	0	0	0
embezzlements	1	0	0	0	0	0	0
embezzler	1	0	0	0	0	0	0
embezzles	1	0	0	0	0	0	0
embezzling	1	0	0	0	0	0	0
emotional	0	0	0	0	0	1	0
empower	0	1	0	0	0	0	0
empowered	0	1	0	0	0	0	0
empowering	0	1	0	0	0	0	0
empowers	0	1	0	0	0	0	0
enable	0	1	0	0	0	0	0
enabled	0	1	0	0	0	0	0
enables	0	1	0	0	0	0	0
enabling	0	1	0	0	0	0	0
encouraged	0	1	0	0	0	0	0
encouragement	0	1	0	0	0	0	0
encourages	0	1	0	0	0	0	0
encouraging	0	1	0	0	0	0	0
encroach	1	0	0	0	0	0	0
encroached	1	0	0	0	0	0	0
encroaches	1	0	0	0	0	0	0
encroaching	1	0	0	0	0	0	0
encroachment	1	0	0	0	0	0	0
encroachments	1	0	0	0	0	0	0
encumber	1	0	0	1	1	0	0
encumbered	1	0	0	1	1	0	0
encumbering	1	0	0	1	1	0	0
encumbers	1	0	0	1	1	0	0
encumbrance	1	0	0	1	1	0	0
encumbrancer	0	0	0	1	0	0	0
encumbrancers	0	0	0	1	0	0	0
encumbrances	1	0	0	1	1	0	0
endanger	1	0	0	0	0	0	0
endangered	1	0	0	0	0	0	0
endangering	1	0	0	0	0	0	0
endangerment	1	0	0	0	0	0	0
endangers	1	0	0	0	0	0	0
endorsee	0	0	0	1	0	0	0
enforceability	0	0	0	1	0	0	0
enforceable	0	0	0	1	0	0	0
enforceably	0	0	0	1	0	0	0
enhance	0	1	0	0	0	0	0
enhanced	0	1	0	0	0	0	0
enhancement	0	1	0	0	0	0	0
enhancements	0	1	0	0	0	0	0
enhances	0	1	0	0	0	0	0
enhancing	0	1	0	0	0	0	0
enjoin	1	0	0	0	0	0	0
enjoined	1	0	0	0	0	0	0
enjoining	1	0	0	0	0	0	0
enjoins	1	0	0	0	0	0	0
enjoy	0	1	0	0	0	0	0
enjoyable	0	1	0	0	0	0	0
enjoyably	0	1	0	0	0	0	0
enjoyed	0	1	0	0	0	0	0
enjoying	0	1	0	0	0	0	0
enjoyment	0	1	0	0	0	0	0
enjoys	0	1	0	0	0	0	0
entail	0	0	0	0	1	0	0
entailed	0	0	0	0	1	0	0
entailing	0	0	0	0	1	0	0
entails	0	0	0	0	1	0	0
enthusiasm	0	1	0	0	0	0	0
enthusiastic	0	1	0	0	0	0	0
enthusiastically	0	1	0	0	0	0	0
entrench	0	0	0	0	1	0	0
entrenched	0	0	0	0	1	0	0
erode	1	0	0	0	0	0	0
eroded	1	0	0	0	0	0	0
erodes	1	0	0	0	0	0	0
eroding	1	0	0	0	0	0	0
erosion	1	0	0	0	0	0	0
erratic	1	0	0	0	0	0	0
erratically	1	0	0	0	0	0	0
erred	1	0	0	0	0	0	0
erring	1	0	0	0	0	0	0
erroneous	1	0	0	0	0	0	0
erroneously	1	0	0	0	0	0	0
error	1	0	0	0	0	0	0
errors	1	0	0	0	0	0	0
errs	1	0	0	0	0	0	0
escalate	1	0	0	0	0	0	0
escalated	1	0	0	0	0	0	0
escalates	1	0	0	0	0	0	0
escalating	1	0	0	0	0	0	0
escheat	0	0	0	1	0	0	0
escheated	0	0	0	1	0	0	0
escheatment	0	0	0	1	0	0	0
escrow	0	0	0	0	1	0	0
escrowed	0	0	0	0	1	0	0
escrowing	0	0	0	1	0	0	0
escrows	0	0	0	0	1	0	0
estoppel	0	0	0	1	0	0	0
evade	1	0	0	0	0	0	0
evaded	1	0	0	0	0	0	0
evades	1	0	0	0	0	0	0
evading	1	0	0	0	0	0	0
evasion	1	0	0	0	0	0	0
evasions	1	0	0	0	0	0	0
evasive	1	0	0	0	0	0	0
evict	1	0	0	0	0	0	0
evicted	1	0	0	0	0	0	0
evicting	1	0	0	0	0	0	0
eviction	1	0	0	0	0	0	0
evictions	1	0	0	0	0	0	0
evicts	1	0	0	0	0	0	0
evidential	0	0	0	1	0	0	0
evidentiary	0	0	0	1	0	0	0
exacerbate	1	0	0	0	0	0	0
exacerbated	1	0	0	0	0	0	0
exacerbates	1	0	0	0	0	0	0
exacerbating	1	0	0	0	0	0	0
exacerbation	1	0	0	0	0	0	0
exacerbations	1	0	0	0	0	0	0
